layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,45407.512939453125,0.309437166424066,0.3023058963283076,0.309437166424066,0.3093986588787471,90851.46466827393,3.6734378403798287,90999.33060147976,3.6794165696862264,91105.09369798155,3.6836929361952753,92863.02587890625,3.7547721930659166,101173.65958712099,4.090799756878578,115369.31384498866,4.664778984513531,107215.02587890625,4.335073017908226,173765.0223704696,7.025918743751804,321560.00907580805,13.001779438614268
2,45518.13130950928,0.3098415008895358,0.3008526975904334,0.3098415008895358,0.3097982164730938,91079.36445236206,3.6826526141178255,91254.26852905659,3.689724588753703,91386.60918941144,3.6950755777701536,93084.26261901855,3.7637175569714763,101394.89632723329,4.099745120784138,115590.55058510097,4.673724348419091,107436.26261901855,4.344018381813786,173986.25911058192,7.034864107657364,321781.24581592035,13.010724802519826
3,25533.961822509766,0.6068655992236778,0.5984770699555195,0.6068655992236778,0.6068140672519671,51125.14284133911,2.0671657302821895,51357.33414099266,2.076554024785406,51549.23258355594,2.0843131402052375,53115.92364501953,2.147659859494563,61426.557353234275,2.4836874233072246,75622.21161110196,3.0576666509421786,67467.92364501953,2.7279606843368724,134017.9201365829,5.4188064101804505,281812.9068419213,11.394667105042913
4,14781.288722991943,0.7694889212356462,0.7671789875829713,0.7694889212356462,0.7694413221601253,29627.282608032227,1.1979331476642499,29889.851407258022,1.2085497091726518,30114.811447420652,1.2176456189317748,31610.577445983887,1.278124593481477,39921.21115419863,1.6141521572941384,54116.86541206631,2.1881313849290924,45962.57744598389,1.8584254183237865,112512.57393754725,4.549271144167364,260307.56064288568,10.525131839029827
5,13771.77686214447,0.787117903930131,0.7854984506297612,0.787117903930131,0.7870720625255088,27612.34808921814,1.1164624005021082,27891.510573649695,1.1277499018942947,28134.903289118774,1.1375911082451389,29591.55372428894,1.1964885057532322,37902.187432503684,1.5325160695658937,52097.841690371366,2.1064952972008477,43943.55372428894,1.7767893305955418,110493.5502158523,4.46763505643912,258288.53692119074,10.443495751301583
6,13997.080434799194,0.7842471292252952,0.7822275941036874,0.7842471292252952,0.7842002334552101,28063.195468902588,1.134691713929427,28343.33280679838,1.1460186320070507,28587.81613079788,1.1559039354196134,30042.16086959839,1.2147081056767908,38352.79457781313,1.5507356694894523,52548.448835680814,2.1247148971244063,44394.16086959839,1.7950089305191004,110944.15736116175,4.485854656362678,258739.1440665002,10.461715351225141
7,14394.186466217041,0.7775351770984958,0.7753568068685701,0.7775351770984958,0.7774920314008447,28849.25519180298,1.1664748177180566,29096.31093249801,1.1764641328035748,29304.272225954403,1.1848727246463853,30836.372932434082,1.2468208366664273,39147.006640648826,1.5828484004790888,53342.66089851651,2.156827628114043,45188.37293243408,1.827121661508737,111738.36942399744,4.517967387352314,259533.35612933588,10.493828082214778
8,15356.592483520508,0.7665777130842633,0.7651928200623876,0.7665777130842633,0.7665313936277793,30777.92640686035,1.244457642198785,31040.64241861862,1.2550801560172498,31265.764874491717,1.2641826328033203,32761.184967041016,1.3246476211806977,41071.81867525576,1.6606751849933592,55267.47293312344,2.234654412628313,47113.184967041016,1.9049484460230073,113663.18145860438,4.595794171866585,261458.1681639428,10.571654866729048
9,16041.03249168396,0.7510512696102216,0.7490141166144244,0.7510512696102216,0.7510011803811807,32146.526638031006,1.2997948664900132,32408.10730215715,1.310371474290682,32631.9776832271,1.3194233253771268,34130.06498336792,1.3799961581500857,42440.698691582664,1.7160237219627472,56636.352949450345,2.2900029495977012,48482.06498336792,1.9602969829923953,115032.06147493128,4.651142708835973,262827.0481802697,10.627003403698437
10,15068.022260665894,0.7638282387190685,0.7614319650941084,0.7638282387190685,0.7637783356866954,30199.67144393921,1.221076801064985,30457.864826639994,1.231516449403202,30678.006942482865,1.2404175538768747,32184.044521331787,1.3013118438190112,40494.67822954653,1.6373394076316727,54690.33248741421,2.2113186352666268,46536.04452133179,1.8816126686613208,113086.04101289515,4.572458394504898,260881.02771823358,10.54831908936736
11,14968.686965942383,0.7683567847323306,0.7666360567109353,0.7683567847323306,0.7683104941865737,29999.62562942505,1.2129882593168788,30252.238449723813,1.2232022662835118,30466.262188009056,1.2318559836652538,31985.373931884766,1.2932789071601474,40296.00764009951,1.629306470972809,54491.66189796719,2.203285698607763,46337.373931884766,1.873579732002457,112887.37042344813,4.564425457846035,260682.35712878656,10.540286152708498
12,14888.6533908844,0.7701762898269449,0.7678548571074606,0.7701762898269449,0.770130252617062,29839.166904449463,1.2065003600375814,30090.19074270348,1.2166501189836438,30302.47789499627,1.225233620208486,31825.3067817688,1.2868068406020055,40135.94048998354,1.622834404414667,54331.594747851224,2.1968136320496208,46177.3067817688,1.867107665444315,112727.30327333216,4.557953391287892,260522.2899786706,10.533814086150356
13,15632.772205352783,0.7609170305676856,0.7592031500752845,0.7609170305676856,0.760872724252858,31327.664958953857,1.266685466559674,31579.745585050063,1.2768779550804652,31793.187411619783,1.2855081437659623,33313.54441070557,1.3469814172208299,41624.17811892031,1.6830089810334914,55819.83237678799,2.2569882086684454,47665.54441070557,1.9272822420631395,114215.54090226893,4.618127967906717,262010.52760760736,10.59398866276918
14,15146.627548217773,0.7692867540029112,0.767268232688678,0.7692867540029112,0.7692395277472333,30355.05577468872,1.2273595250965843,30605.83839181829,1.2374995306412053,30817.862123013296,1.2460723808431706,32341.255096435547,1.3076684092040898,40651.88880465029,1.6436959730167513,54847.54306251797,2.2176752006517053,46693.25509643555,1.8879692340463994,113243.25158799891,4.578814959889977,261038.23829333734,10.55467565475244
15,16459.030542373657,0.7474122594209931,0.7444186549182812,0.7474122594209931,0.7473620502636265,32980.05183792114,1.333497163105335,33231.605765130145,1.3436683553748239,33444.471977026566,1.3522752699751968,34966.061084747314,1.4137983618286962,43276.69479296206,1.7498259256413577,57472.34905082974,2.3238051532763118,49318.061084747314,1.9940991866710058,115868.05757631068,4.684944912514584,263663.0442816491,10.660805607377046
16,18028.182006835938,0.7245673621219473,0.7210068213938078,0.7245673621219473,0.7245160540606204,36112.3702545166,1.46014759237088,36339.63946986551,1.469336870041465,36526.269957951634,1.4768829839055326,38104.364013671875,1.5406907655536097,46414.99772188662,1.8767183293662713,60610.6519797543,2.450697557001225,52456.364013671875,2.1209915903959193,119006.36050523524,4.8118373162394965,266801.3472105737,10.78769801110196
17,20115.887229919434,0.6935144751738638,0.6897631777490714,0.6935144751738638,0.6934593421310122,40289.44560241699,1.6290411451729336,40523.470866821786,1.6385035931918885,40717.3387389692,1.6463423394375385,42279.77445983887,1.70951700064042,50590.40816805361,2.0455445644530816,64786.06242592129,2.6195237920880357,56631.77445983887,2.2898178254827295,123181.77095140223,4.980663551326307,270976.75765674066,10.95652424618877
18,20915.47190093994,0.6840934821284166,0.6805110501600541,0.6840934821284166,0.6840413596463456,41884.56885910034,1.6935374761078903,42102.175406044335,1.702336058792024,42278.54121478844,1.7094671362925942,43878.94380187988,1.7741769287514104,52189.57751009463,2.1102044925640717,66385.23176796231,2.6841837201990257,58230.94380187988,2.35447775359372,124780.94029344324,5.045323479437298,272575.9269987817,11.02118417429976
19,21058.157289505005,0.6842552159146046,0.6795076658692674,0.6842552159146046,0.6842014198517606,42171.88274002075,1.705154566554292,42397.374259551696,1.7142719658560446,42582.10856198067,1.7217414103987008,44164.31457901001,1.7857154528145727,52474.94828722475,2.121743016627234,66670.60254509244,2.695722244262188,58516.31457901001,2.366016277656882,125066.31107057337,5.05686200350046,272861.2977759118,11.032722698362923
