layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic_pr,aic_pr_avg,bic_pr,bic_pr_avg,ebic_pr,ebic_pr_avg,aic_rep,aic_rep_avg,bic_rep,bic_rep_avg,ebic_rep,ebic_rep_avg,aic_cls,aic_cls_avg,bic_cls,bic_cls_avg,ebic_cls,ebic_cls_avg
1,28428.81037902832,0.5450428594533399,0.5381512594263989,0.5450428594533399,0.5450036677484373,56882.667348861694,2.2999622897000522,56984.304576313036,2.30407183310339,57047.61210162063,2.3066315745439363,58393.62075805664,2.361055343605719,64626.59603921769,2.613076016465215,74831.45706933252,3.0256937194457594,69161.62075805664,2.796442696023639,119090.34983319053,4.815233294241894,226436.99785081667,9.15562824886045
2,27876.631942749023,0.5621866407892608,0.5552615353709507,0.5621866407892608,0.5621452295097202,55785.67235183716,2.2556070011255525,55917.183529956965,2.26092445131639,56007.44994320314,2.264574233511367,57289.26388549805,2.316402389030327,63522.2391666591,2.5684230618898227,73727.10019677393,2.9810407648703676,68057.26388549805,2.7517897414482473,117985.99296063193,4.770580339666502,225332.64097825807,9.110975294285058
3,32270.732666015625,0.48977033802361314,0.4805561980032273,0.48977033802361314,0.48972215160764876,64580.50228500366,2.611212287118052,64738.91137545216,2.6176173126092577,64854.90427994427,2.6223073055128685,66077.46533203125,2.6717396624628518,72310.4406131923,2.923760335322348,82515.30164330713,3.3363780383028923,76845.46533203125,3.107127014880772,126774.19440716514,5.125917613099027,234120.84242479128,9.466312567717583
4,36596.932373046875,0.4277454310205402,0.42015419457473213,0.4277454310205402,0.42770003525719813,73235.45021057129,2.961161661433418,73404.20097368593,2.9679848363935766,73530.39637371973,2.973087351355318,74729.86474609375,3.0215859916745007,80962.8400272548,3.2736066645339967,91167.70105736963,3.686224367514541,85497.86474609375,3.456973344092421,135426.59382122764,5.475763942310676,242773.24183885378,9.816158896929233
5,41475.111068725586,0.35832120329936923,0.3490712987420188,0.35832120329936923,0.3582796128367805,82996.23585891724,3.355823866202379,83182.95616392519,3.3633736116741546,83327.2456463112,3.369207732747501,84486.22213745117,3.41606914675122,90719.19741861222,3.668089819610716,100924.05844872705,4.08070752259126,95254.22213745117,3.85145649916914,145182.95121258506,5.870247097387395,252529.5992302112,10.210642052005952
6,43955.44887924194,0.3260553129548763,0.3146027589216355,0.3260553129548763,0.3260099062701327,87950.04565048218,3.5561234696135444,88108.90492335647,3.5625466975317996,88225.33855614025,3.567254510599234,89446.89775848389,3.6166463593111713,95679.87303964494,3.8686670321706673,105884.73406975977,4.281284735151211,100214.89775848389,4.052033711729091,150143.62683361777,6.070824309947347,257490.2748512439,10.411219264565903
7,44763.41048812866,0.3115397056445091,0.30517363877894443,0.3115397056445091,0.3115015567778423,89559.50637435913,3.621199513761893,89692.14132124941,3.626562401797243,89783.4571746125,3.6302546164730916,91062.82097625732,3.6819837043610435,97295.79625741838,3.934004377220539,107500.6572875332,4.346622080201084,101830.82097625732,4.117371056778963,151759.5500513912,6.136161654997219,259106.19806901735,10.476556609615775
8,46581.740882873535,0.2744622351609251,0.2633046644855369,0.2744622351609251,0.2744130203018508,93190.283826828,3.7680043598102864,93299.04462383427,3.772401933682447,93368.60486174817,3.775214493843934,94699.48176574707,3.8290264340023885,100932.45704690812,4.0810471068618845,111137.31807702295,4.4936648098424286,105467.48176574707,4.264413786420309,155396.21084088096,6.283204384638564,262742.8588585071,10.62359933925712
9,48177.72383880615,0.24644185670386543,0.2404023476468748,0.24644185670386543,0.24640631853511225,96371.57617378235,3.896634973871193,96437.02442765617,3.8992812723457937,96470.69170361599,3.9006425563486977,97891.4476776123,3.9580886170795853,104124.42295877336,4.210109289939081,114329.28398888819,4.622726992919626,108659.4476776123,4.393475969497506,158588.1767527462,6.41226656771576,265934.82477037236,10.752661522334318
10,47790.325870513916,0.25129387028950345,0.2454520695185372,0.25129387028950345,0.2512669353566128,95597.69920539856,3.8653444608361056,95666.87656479258,3.8681415398994248,95703.40679565254,3.8696185830362504,97116.65174102783,3.926760946992877,103349.62702218888,4.178781619852373,113554.48805230371,4.591399322832918,107884.65174102783,4.362148299410797,157813.38081616172,6.380938897629052,265160.0288337879,10.72133385224761
11,48603.44713592529,0.23055151221090087,0.22424857422205322,0.23055151221090087,0.2305271145361783,97222.59597015381,3.9310446373182035,97286.31230960449,3.933620908523552,97318.66757045843,3.934929143233804,98742.89427185059,3.99251553743533,104975.86955301164,4.244536210294826,115180.73058312647,4.657153913275371,109510.89427185059,4.42790288985325,159439.62334698447,6.446693488071506,266786.27136461064,10.787088442690063
12,49235.4344329834,0.2214944201843765,0.21677777934758,0.2214944201843765,0.22147635021670037,98491.85604476929,3.982365196699389,98577.0204762128,3.9858086881858643,98626.35639137,3.9878035092742197,100006.8688659668,4.043622386623273,106239.84414712785,4.295643059482769,116444.70517724268,4.708260762463314,110774.8688659668,4.479009739041193,160703.59794110068,6.497800337259449,268050.24595872685,10.838195291878007
