layer_number,loss,accuracy_score,f1_macro,f1_micro,balanced_accuracy_score,aic,aic_avg,bic,bic_avg,ebic,ebic_avg
1,24285.531852722168,0.6185104318292092,0.6126899649092399,0.6185104318292092,0.6184637953212582,64971.063705444336,2.627004031434754,131521.0601970077,5.317849757278331,279316.04690234613,11.293710452140795
2,23835.716819763184,0.6272036228368106,0.621897584705952,0.6272036228368106,0.6271623321850858,64071.43363952637,2.5906288872524006,130621.43013108973,5.281474613095978,278416.41683642816,11.25733530795844
3,24493.911163330078,0.6186721656153971,0.6132414005351019,0.6186721656153971,0.6186304225872865,65387.822326660156,2.6438550188686785,131937.81881822352,5.334700744712256,279732.80552356195,11.31056143957472
4,25119.704570770264,0.6110302442180171,0.6046128213657374,0.6110302442180171,0.6109868292080887,66639.40914154053,2.6944609874470533,133189.4056331039,5.385306713290631,280984.3923384423,11.361167408153094
5,28014.03066253662,0.5583858968138444,0.5519162338848603,0.5583858968138444,0.5583393147224949,72428.06132507324,2.9285161460890037,138978.0578166366,5.619361871932582,286773.04452197504,11.595222566795044
6,30954.01661682129,0.5159307779395116,0.5064566138444675,0.5159307779395116,0.5158788875847988,78308.03323364258,3.1662636759519076,144858.02972520594,5.857109401795485,292653.0164305444,11.832970096657949
7,32037.526203155518,0.500040433446547,0.49248691680914713,0.500040433446547,0.4999941384987622,80475.05240631104,3.2538837298362866,147025.0488978744,5.944729455679864,294820.03560321283,11.920590150542328
8,35448.06509017944,0.4493368914766295,0.44121945130658635,0.4493368914766295,0.4492914078897333,87296.13018035889,3.5296834134060684,153846.12667192225,6.2205291392496465,301641.1133772607,12.196389834112109
9,36852.55587768555,0.43178877567523855,0.4247983762535045,0.43178877567523855,0.43174390240479993,90105.1117553711,3.6432602197707866,156655.10824693445,6.334105945614364,304450.0949522729,12.309966640476826
10,40376.43978881836,0.38007439754164646,0.37493131079490943,0.38007439754164646,0.38003258718513,97152.87957763672,3.9282257632879154,163702.87606920008,6.619071489131493,311497.8627745385,12.594932183993956
11,41090.47103881836,0.3668526605207828,0.3603904387605935,0.3668526605207828,0.366809245460481,98580.94207763672,3.985967252047417,165130.93856920008,6.676812977890995,312925.9252745385,12.652673672753458
12,41689.18005371094,0.3603428756267184,0.35316075348979303,0.3603428756267184,0.3603001985425206,99778.36010742188,4.03438298994913,166328.35659898524,6.725228715792707,314123.3433043237,12.70108941065517
13,43887.92842102051,0.3279556849425845,0.3215244728535992,0.3279556849425845,0.3279141815259967,104175.85684204102,4.212188939108888,170725.85333360438,6.903034664952465,318520.8400389428,12.878895359814928
14,45336.70249938965,0.304342552159146,0.2991840510195772,0.304342552159146,0.3043042601999164,107073.4049987793,4.329346797621676,173623.40149034266,7.020192523465254,321418.3881956811,12.996053218327717
15,45762.71513366699,0.2950832928998868,0.2907685169858869,0.2950832928998868,0.2950473825761316,107925.43026733398,4.363797115774462,174475.42675889735,7.05464284161804,322270.4134642358,13.030503536480502
16,46640.30683898926,0.2872796377163189,0.28275496962687324,0.2872796377163189,0.28724935440420696,109680.61367797852,4.434765230388909,176230.61016954188,7.125610956232487,324025.5968748803,13.10147165109495
17,46533.306438446045,0.2865114022319262,0.28157467536170433,0.2865114022319262,0.2864784176643257,109466.61287689209,4.42611244043717,176016.60936845545,7.116958166280748,323811.5960737939,13.092818861143211
18,46408.26245880127,0.289624777616044,0.2867521678780559,0.289624777616044,0.28959856053736244,109216.52491760254,4.416000522303192,175766.5214091659,7.10684624814677,323561.50811450434,13.082706943009233
19,46721.26036453247,0.2788694808345463,0.27548114987203653,0.2788694808345463,0.27884131223797876,109842.52072906494,4.441311690484593,176392.5172206283,7.1321574163281705,324187.50392596674,13.108018111190633
20,46328.51268005371,0.2868348698043021,0.28308306267037875,0.2868348698043021,0.2868053918147221,109057.02536010742,4.409551405470945,175607.02185167078,7.100397131314523,323402.0085570092,13.076257826176986
21,46302.6950340271,0.2851770984958758,0.28184584559181913,0.2851770984958758,0.28514385920969515,109005.3900680542,4.4074636126497735,175555.38655961756,7.098309338493351,323350.373264956,13.074170033355815
22,47224.38196563721,0.2652838427947598,0.2628600528137639,0.2652838427947598,0.26525478141455944,110848.76393127441,4.481997571214395,177398.76042283777,7.172843297057972,325193.7471281762,13.148703991920435
23,49321.00905227661,0.2183406113537118,0.21251973455161363,0.2183406113537118,0.21831486972367936,115042.01810455322,4.65154528968758,181592.01459611658,7.342391015531157,329387.001301455,13.31825171039362
24,50203.583614349365,0.20014556040756915,0.19755392873726696,0.20014556040756915,0.20012839575473995,116807.16722869873,4.722916352446172,183357.1637202621,7.41376207828975,331152.1504256005,13.389622773152213
