model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
baseline-concat,0.7794584500466853,0.9144162715591287,0.5239366003558144,0.8888888888888888,0.7331536388140162
baseline-chroma,0.2084500466853408,0.27554456125884697,0.19444444444444445,0.7068420296104643,0.6027493261455525
baseline-mfcc,0.30910364145658265,0.7793925651068508,0.2926168526605208,0.6253413827799339,0.4358490566037736
baseline-mel,0.5168067226890757,0.7375798804370233,0.4237425198123888,0.7871927554980596,0.48355795148247976
musicgen-audio,0.6071428571428571,0.5424654710368996,0.2740174672489083,0.577260313353457,0.3945013477088949
musicgen-small,0.9593837535014006,0.9715866144437573,0.787117903930131,0.908150064683053,0.7710512129380054
musicgen-medium,0.9892623716153128,0.9929911358482787,0.7490295972828724,0.8311053615063965,0.6649595687331536
musicgen-large,0.9986928104575163,0.9952243523672095,0.8784570596797671,0.889391979301423,0.6811320754716981
jukebox,1.0,1.0,0.9962396894711305,0.9999281299410665,0.9901347708894879
MERT-v1-95M,0.9997665732959851,0.9910327767470625,0.7609574640142326,0.9030472904987782,0.8197843665768194
MERT-v1-330M,1.0,0.9968047825190682,0.9384198609089439,0.9973408078194624,0.9411859838274933
wav2vec2-base,0.954154995331466,0.955129526558098,0.5450428594533399,0.6824780796320253,0.5931536388140162
wav2vec2-large,0.9971055088702148,0.9764309764309764,0.6272036228368106,0.7130228546787408,0.6643126684636118
