model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,0.9971055088702147,0.9823741109607146,0.6271623321850858,0.7130233136269354,0.6643049470084453
wav2vec2-base,0.9541549953314657,0.9651141703445008,0.5450036677484373,0.682477721830862,0.5931443113581153
MERT-v1-330M,1.0,0.9971816713915961,0.9384026306980054,0.9973405288380245,0.9411837793904013
MERT-v1-95M,0.9997665732959851,0.993254414173118,0.760915294022332,0.9030478360179974,0.8197785088481088
jukebox,1.0,1.0,0.9962387013987448,0.9999281402701926,0.990133846417195
musicgen-large,0.9986928104575163,0.9965199542222314,0.8784285875058668,0.8893923385875095,0.6811057823566283
musicgen-medium,0.9892623716153129,0.99486354554136,0.7489804094817503,0.8311061638044814,0.6649325428231386
musicgen-small,0.9593837535014006,0.9775708969426649,0.7870720625255088,0.9081504553485376,0.7710410002526497
musicgen-audio,0.6071428571428572,0.5121898137891773,0.27396458155262216,0.577259002962158,0.39446166093915075
baseline-mel,0.5168067226890756,0.749046800428104,0.4236813595764967,0.787189207701644,0.4835295030195888
baseline-mfcc,0.3091036414565827,0.8046830550371473,0.2925719796709106,0.6253210547272793,0.43584355615748765
baseline-chroma,0.20845004668534078,0.27001455802956237,0.19440158249326067,0.7068446578592561,0.6027282743973273
baseline-concat,0.7794584500466853,0.923726017781969,0.5238831316964594,0.8888915932132679,0.7331408152785096
