model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,5305.245197856534,1570.728954762209,47863.83861205956,15855.07984429624,28540.73255762953
wav2vec2-base,15800.13925646127,2696.5331091086528,56984.304576313036,16779.20752198539,32664.71192633782
MERT-v1-330M,1003.8015008408123,324.2118708245788,8698.907405761416,541.4938366678209,6277.6113033682
MERT-v1-95M,1314.31267133049,690.5113741749382,30808.33187323585,7105.025797429895,16669.156942138146
jukebox,126.31085964523838,73.24250318451617,978.4658119684541,255.53604750362135,1427.7718648228674
musicgen-large,1833.764609364004,619.6456177547844,17418.126522875133,8992.774686524175,26079.643771105504
musicgen-medium,5418.534318898455,778.9197400172874,32646.492181697744,10778.241681902988,27781.201691147053
musicgen-small,14385.943422505468,1696.7945897007817,27891.510573649695,6909.660453185481,19967.341426505376
musicgen-audio,63629.75711620398,25423.241262975585,93891.39108637586,18816.602532141642,40777.38243227412
baseline-mel,71527.71513451394,12849.008338088986,72831.52735251417,13081.113735301258,37498.518427104995
baseline-mfcc,103028.59438984515,10786.494778928114,92186.73367433687,18171.088293291676,39640.454744788214
baseline-chroma,117899.16331065622,33650.47178560751,100909.26640793383,16137.240513349456,31197.34421654799
baseline-concat,35906.46378872354,4323.809579553809,60861.5459826609,8012.837794708823,22921.396443332225
