model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,15075.18222488687,11967.48479579816,58030.06734011172,25492.663115597494,38478.23679278855
wav2vec2-base,23336.069775802833,10428.90966840781,64626.59603921769,24013.85983784253,40086.44746534947
MERT-v1-330M,11126.284457819915,10758.694245597891,18647.860403275474,10075.951321586199,16104.721536860512
MERT-v1-95M,8884.227688534003,8447.65316752292,38161.392982882244,14135.488008809632,24019.788894106183
jukebox,47905.6824744514,49339.89476758282,49211.03630989037,45846.130197055296,48395.13700238637
musicgen-large,22165.662539993238,21575.48906982799,37836.69866032597,28261.512506677165,45903.06755682954
musicgen-medium,20627.13358732649,16445.381732269074,47863.303475224944,25212.100756312502,42632.531611301965
musicgen-small,24531.594512598967,12133.046076406337,37902.187432503684,16469.154358006246,29814.53952716355
musicgen-audio,64854.77632065331,26694.23087449239,95149.77616634667,19988.95655335197,42011.47288408697
baseline-mel,79141.50316928123,20696.970642767323,80513.35613290666,20370.616135907716,44998.89159529332
baseline-mfcc,104117.04499650482,11935.310397730826,93229.52610594314,19290.398482520217,40674.31018016134
baseline-chroma,118565.54053550055,34337.87277657184,101426.20401195456,16694.39588272502,31778.48037994739
baseline-concat,45421.01994518308,14129.835479152665,70097.55803730337,16907.908809334716,32101.119777472362
