model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
baseline-concat,1040924.5752148619,191989.0990167975,275732.48623050447,55150.966275326165,96936.1354818878
baseline-chroma,181400.94847459998,45223.7916298308,114045.5652140053,18855.61717594364,35583.64288260825
baseline-mfcc,212420.1928961595,30828.365996374472,115118.21896652592,23111.003740371052,47341.90532937027
baseline-mel,864098.4996699748,160623.88741983374,242323.75794450563,50289.33780650183,95853.97680821377
musicgen-audio,180879.40335840627,46951.35800950525,118617.12763150968,24094.568304014392,49168.80388911324
musicgen-small,1090826.130837152,202761.76530649367,258288.5369040246,57522.80187834044,99363.24925018432
musicgen-medium,1661887.4103736223,311008.1359570608,388293.4684194168,89258.58001004209,150652.96039252164
musicgen-large,2250214.0850664154,422506.3030568437,501092.4216514736,115996.25913880386,193438.36886804216
jukebox,5546398.086434917,1045975.6144931377,1200055.944679523,267755.76670709084,418598.55724084785
MERT-v1-95M,793841.2241892276,148374.56994458934,199971.79479448122,44054.20967940375,74874.87410702664
MERT-v1-330M,1077420.820782373,201387.41347568523,239034.20989196253,51129.59884499003,85653.43125988128
wav2vec2-base,808293.0662764964,150355.82644547423,226436.99785081667,53932.581510343996,90941.53267826993
wav2vec2-large,1081369.71854944,202596.2040258855,278416.41683642816,66546.31063307067,108026.94651580932
