model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,5640.847892894243,1633.9742823525107,47975.886228204974,15927.81120182194,28606.574501616455
wav2vec2-base,15861.854704529878,2783.2093034367626,57047.61210162063,16823.302673854818,32730.368024036747
MERT-v1-330M,1042.8255857938507,362.76784954321545,8998.702329641634,699.4821959233043,6431.106273532596
MERT-v1-95M,1353.1548554114265,759.480519888374,31113.93003499633,7318.860471320055,16789.702498971586
jukebox,163.86193868359436,100.00185635884121,1200.111964655313,386.9557241554339,1557.060923372709
musicgen-large,1874.0689266842917,660.7104413745875,17618.04622010965,9182.44926358598,26292.646788826503
musicgen-medium,5470.487357280363,837.3909925498177,32866.033933730396,10923.468182258743,27941.388720639967
musicgen-small,14410.820003566298,1734.2593799932788,28134.903289118774,7045.870632867969,20103.91646612009
musicgen-audio,63646.66570909808,25436.01814232884,93900.6260157377,18833.326668496156,40781.71286922536
baseline-mel,71541.19927720283,12862.459761486616,72868.63125834899,13091.981939081652,37513.85383276815
baseline-mfcc,103080.33210319717,10821.209882154344,92282.41193144917,18176.371840074178,39720.271228495105
baseline-chroma,117916.18078330922,33667.21498393017,101036.31394469657,16208.248519180928,31263.11222462581
baseline-concat,35927.300153157536,4345.231165500264,61223.23159603637,8196.553243694256,23090.677863395664
