model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,0.9971060713882598,0.9710780465264417,0.621897584705952,0.7130201138343969,0.6635123383959497
wav2vec2-base,0.9541112292644127,0.9459632303809842,0.5381512594263989,0.682475954051202,0.5915876290779363
MERT-v1-330M,1.0,0.9954663752378664,0.9382119569903139,0.9973407962678233,0.9412785294220337
MERT-v1-95M,0.9997665696201478,0.9882161617149353,0.7578695633354576,0.903045987925575,0.820066420930685
jukebox,1.0,1.0,0.9962389143771826,0.9999281299406954,0.990128794082044
musicgen-large,0.998694157030098,0.9939184439893837,0.8776385958036964,0.8893913571258658,0.6700088779363579
musicgen-medium,0.9892553723434306,0.991108575541938,0.7479398213173245,0.8311003224176499,0.652426511936779
musicgen-small,0.9594067762130593,0.963583476468063,0.7854984506297612,0.9081494498138154,0.7708689006556506
musicgen-audio,0.6057667799096904,0.4889795126703577,0.2453823497874807,0.5772245345578154,0.32709155985355437
baseline-mel,0.5198745459294644,0.6948531994905165,0.3957323462044201,0.7870618410174539,0.46241022962378747
baseline-mfcc,0.2980523433127693,0.7415293033851914,0.2801833065734066,0.6176852674276503,0.4348330509061525
baseline-chroma,0.1996743500924532,0.2465264493347409,0.18026346952782377,0.7067450718973683,0.5976498478815632
baseline-concat,0.7783302964289025,0.8955895052416156,0.517182557650052,0.8888500781545995,0.7314694734501169
